132.207,Selected:,4,1,3,Total:1010.04/1397.19,OK,CLA:261.015/294.321,UUV:2,Config:3,true

143.734,Unsorted:,1.76685/269.164/475.573,1.49741/209.243/313.323,1.64608/476.942/785.084,1.13638/236.082/268.28,1.46847/503.79/739.802,1.30072/443.869/577.351,1.58445/662.496/1049.69,
143.734,Unsorted:,1.85463/188.236/349.109,1.47997/239.119/353.888,1.64177/425.888/699.212,1.12271/217.646/244.353,1.45765/404.391/589.46,1.30461/455.296/593.985,1.46496/641.602/939.923,
143.734,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46228/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
143.735,Selected:,4,-1,5,Total:1007.38/1383.6,OK,CLA:503.594/643.8,UUV:2,Config:5,true

165.268,Unsorted:,1.76146/280.241/493.633,1.49562/211.958/317.009,1.6441/490.739/806.823,1.13381/242.894/275.395,1.46635/521.684/764.969,1.2972/453.399/588.149,1.5823/681.628/1078.54,
165.268,Unsorted:,1.85463/188.236/349.109,1.47997/239.119/353.888,1.64177/425.888/699.212,1.12271/217.646/244.353,1.45765/404.391/589.46,1.30461/455.296/593.985,1.46496/641.602/939.923,
165.268,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46228/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
165.269,Selected:,4,3,3,Total:1000.34/1303.64,OK,CLA:261.015/294.321,UUV:2,Config:3,true

174.96,Unsorted:,1.76888/265.226/469.152,1.49449/213.723/319.406,1.6435/477.485/784.746,1.13628/236.355/268.566,1.46697/500.124/733.669,1.30113/448.625/583.719,1.58233/663.35/1049.64,
174.96,Unsorted:,1.85463/188.236/349.109,1.47997/239.119/353.888,1.64177/425.888/699.212,1.12271/217.646/244.353,1.45765/404.391/589.46,1.30461/455.296/593.985,1.46496/641.602/939.923,
174.96,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46228/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
174.962,Selected:,4,-1,5,Total:1003.72/1377.47,OK,CLA:503.594/643.8,UUV:2,Config:5,true

190.35,Unsorted:,1.76372/275.495/485.895,1.49149/218.493/325.881,1.64043/492.528/807.957,1.13536/238.743/271.059,1.46826/512.785/752.9,1.30036/455.784/592.685,1.58245/679.542/1075.34,
190.35,Unsorted:,1.85463/188.236/349.109,1.47997/239.119/353.888,1.64177/425.888/699.212,1.12271/217.646/244.353,1.45765/404.391/589.46,1.30461/455.296/593.985,1.46496/641.602/939.923,
190.35,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46228/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
190.351,Selected:,3,1,4,Total:1004.06/1394.4,OK,CLA:526.202/769.452,UUV:2,Config:4,true

215.465,Unsorted:,1.76574/271.383/479.191,1.49484/213.173/318.659,1.64364/483.094/794.035,1.13761/232.983/265.043,1.4718/502.91/740.184,1.30301/444.701/579.451,1.58624/665.355/1055.41,
215.465,Unsorted:,1.85463/188.236/349.109,1.47997/239.119/353.888,1.64177/425.888/699.212,1.12271/217.646/244.353,1.45765/404.391/589.46,1.30461/455.296/593.985,1.46496/641.602/939.923,
215.465,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46228/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
215.467,Selected:,4,-1,5,Total:1006.5/1383.98,OK,CLA:503.594/643.8,UUV:2,Config:5,true

245.699,Unsorted:,1.76239/278.26/490.403,1.49663/210.43/314.935,1.64506/487.229/801.521,1.13445/241.161/273.585,1.46714/517.969/759.931,1.29797/450.138/584.266,1.58322/676.742/1071.43,
245.699,Unsorted:,1.85463/188.236/349.109,1.47997/239.119/353.888,1.64177/425.888/699.212,1.12271/217.646/244.353,1.45765/404.391/589.46,1.30461/455.296/593.985,1.46496/641.602/939.923,
245.699,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46228/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
245.701,Selected:,3,1,4,Total:1006.48/1396.93,OK,CLA:526.202/769.452,UUV:2,Config:4,true

256.201,Unsorted:,1.76821/266.51/471.246,1.49738/209.283/313.377,1.64614/474.328/780.812,1.13689/234.792/266.932,1.46872/499.845/734.13,1.30148/442.619/576.059,1.58462/658.883/1044.08,
256.201,Unsorted:,1.85463/188.236/349.109,1.47997/239.119/353.888,1.64177/425.888/699.212,1.12271/217.646/244.353,1.45765/404.391/589.46,1.30461/455.296/593.985,1.46496/641.602/939.923,
256.201,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46228/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
256.203,Selected:,4,-1,5,Total:1003.44/1377.93,OK,CLA:503.594/643.8,UUV:2,Config:5,true

272.171,Unsorted:,1.76539/272.086/480.337,1.4932/215.746/322.152,1.64211/486.37/798.672,1.13279/245.703/278.329,1.46147/516.337/754.61,1.29614/459.998/596.224,1.57771/680.31/1073.33,
272.171,Unsorted:,1.85463/188.236/349.109,1.47997/239.119/353.888,1.64177/425.888/699.212,1.12271/217.646/244.353,1.45765/404.391/589.46,1.30461/455.296/593.985,1.46496/641.602/939.923,
272.171,Unsorted:,1.79727/266.622/479.191,1.44837/246.568/357.123,1.62679/511.735/832.487,1.12429/271.86/305.649,1.45382/537.051/780.777,1.27374/516.98/658.495,1.55736/728.437/1134.44,
272.172,Selected:,3,1,5,Total:1001.8/1290.71,OK,CLA:516.98/658.495,UUV:2,Config:5,true

281.659,Unsorted:,1.76691/269.04/475.37,1.49734/209.348/313.465,1.64602/476.923/785.023,1.13546/238.485/270.79,1.46642/506.07/742.109,1.29935/446.379/580.004,1.58282/664.725/1052.14,
281.659,Unsorted:,1.85463/188.236/349.109,1.47997/239.119/353.888,1.64177/425.888/699.212,1.12271/217.646/244.353,1.45765/404.391/589.46,1.30461/455.296/593.985,1.46496/641.602/939.923,
281.659,Unsorted:,1.79727/266.622/479.191,1.45222/238.815/346.812,1.63138/503.978/822.179,1.12724/262.167/295.525,1.46136/527.355/770.656,1.27734/499.528/638.067,1.56437/712.119/1114.02,
281.661,Selected:,4,-1,5,Total:1005.6/1380.18,OK,CLA:499.528/638.067,UUV:2,Config:5,true

328.421,Unsorted:,1.76691/269.04/475.37,1.49734/209.348/313.465,1.64602/476.923/785.023,1.13546/238.485/270.79,1.46642/506.07/742.109,1.29935/446.379/580.004,1.58282/664.725/1052.14,
328.421,Unsorted:,1.85463/188.236/349.109,1.47997/239.119/353.888,1.64177/425.888/699.212,1.12271/217.646/244.353,1.45765/404.391/589.46,1.30461/455.296/593.985,1.46496/641.602/939.923,
328.421,Unsorted:,1.79727/266.622/479.191,1.44684/249.8/361.421,1.62493/514.968/836.784,1.12656/264.345/297.799,1.45964/529.533/772.93,1.27746/512.695/654.945,1.56128/724.336/1130.89,
328.423,Selected:,4,1,3,Total:1009.53/1393.8,OK,CLA:264.345/297.799,UUV:2,Config:3,true

